,timestamp,T1,T1_Rad,Toutdoor,CoolingPower,HeatingPower,FanPower,PumpPower,TotalHVACPower,TotalHVACEnergy,HeatingSetpoint,CoolingSetpoint,FanControlInput,u_CoolingSetpoint,u_HeatingSetpoint,u_FanOverride,PMV,PPD,Reward
2019-01-02 00:00:00,2019-01-02 00:00:00,21.23653937829016,19.17843357648161,-4.4490761584094685,0.0,0.0,5.231953892668184,0.0,5.231953892668184,1785150.73028038,21.0,25.0,0.2,25.0,21.0,0.2,0.0,0.0,-0.005231953892668183
2019-01-02 00:05:00,2019-01-02 00:05:00,19.414916820139354,19.03725573214507,-4.563079685746345,0.0,7070.707070707072,0.0,0.0,7070.707070707072,3560171.839941631,21.0,25.0,0.0,25.0,21.0,0.0,0.0,0.0,-7.070707070707072
2019-01-02 00:10:00,2019-01-02 00:10:00,24.43493618527492,19.188073463222338,-4.666597402597404,0.0,0.0,58.11543367346943,0.0,58.11543367346943,3742843.6426407355,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-0.058115433673469434
2019-01-02 00:15:00,2019-01-02 00:15:00,20.45362683901675,19.03684754164459,-4.762034311367643,0.0,7070.707070707072,58.11543367346943,0.0,7128.822504380541,4051784.229930272,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-7.128822504380541
2019-01-02 00:20:00,2019-01-02 00:20:00,20.787041050567723,18.787418555973602,-4.85179541446206,0.0,6023.081398084609,58.11543367346943,0.0,6081.196831758079,5414557.450076433,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-6.081196831758079
2019-01-02 00:25:00,2019-01-02 00:25:00,20.86277383166282,18.563206552485042,-4.938285714285712,0.0,3881.1441549909196,58.11543367346943,0.0,3939.259588664389,6756333.442462948,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-3.939259588664389
2019-01-02 00:30:00,2019-01-02 00:30:00,20.895632488477133,18.354383597377023,-5.023910213243539,0.0,2951.8084067073387,58.11543367346943,0.0,3009.923840380808,7699906.06980842,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-3.009923840380808
2019-01-02 00:35:00,2019-01-02 00:35:00,20.875647047215068,18.156779648528186,-5.111073913740597,0.0,3517.053210078881,31.085228226835838,0.0,3548.1384383057166,8663357.626665225,21.0,25.0,0.3652862903300331,25.0,21.0,0.3652862903300331,0.0,0.0,-3.5481384383057164
2019-01-02 00:40:00,2019-01-02 00:40:00,20.894855682601303,17.971978826275006,-5.202181818181828,0.0,2973.7786739025355,52.58070212995765,0.0,3026.359376032493,9588837.065237124,21.0,25.0,0.4352353347472615,25.0,21.0,0.4352353347472615,0.0,0.0,-3.026359376032493
2019-01-02 00:45:00,2019-01-02 00:45:00,20.869014233537087,17.798863518326073,-5.299638928972286,0.0,3704.64794036523,31.784507935299555,0.0,3736.43244830053,10602759.590269886,21.0,25.0,0.36800511089543875,25.0,21.0,0.36800511089543875,0.0,0.0,-3.73643244830053
2019-01-02 00:50:00,2019-01-02 00:50:00,20.887111490120844,17.638364830299906,-5.405850248516913,0.0,3192.806340016524,58.11543367346943,0.0,3250.921773689993,11574048.496629175,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-3.2509217736899934
2019-01-02 00:55:00,2019-01-02 00:55:00,20.86526846575589,17.488141798447884,-5.523220779220765,0.0,3810.5888473081804,39.33754891557251,0.0,3849.926396223753,12658065.128194023,21.0,25.0,0.3951097845770448,25.0,21.0,0.3951097845770448,0.0,0.0,-3.849926396223753
