Time,CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Tot Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Tot Cool Cap [W]
00:01:00,7.598810E-02,1.933405E+03,2.637566E-01,3.005406E+03,4.686179E+03,7.598810E-02,5.345010E+03,7.598810E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.465646E+03,2.106220E-01,2.397499E+03,3.855802E+03,1.422705E-01,6.509805E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.694401E+02,1.276142E-01,1.452045E+03,2.332436E+03,8.658529E-02,3.925239E+03,3.417137E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.465646E+03,2.088336E-01,2.377529E+03,3.833564E+03,1.324531E-01,6.224798E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.694401E+02,1.398422E-01,1.588581E+03,2.483233E+03,8.750256E-02,3.951868E+03,3.417137E-02,0.000000E+00,0.000000E+00
00:02:00,7.598810E-02,1.934207E+03,2.636900E-01,3.003862E+03,4.684572E+03,7.598810E-02,5.345010E+03,7.598810E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.466254E+03,2.104701E-01,2.395195E+03,3.853308E+03,1.422705E-01,6.509805E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.698006E+02,1.275168E-01,1.450597E+03,2.330864E+03,8.658530E-02,3.925239E+03,3.417137E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.466254E+03,2.086867E-01,2.375281E+03,3.831131E+03,1.324532E-01,6.224798E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.698006E+02,1.396939E-01,1.586564E+03,2.481050E+03,8.750257E-02,3.951868E+03,3.417137E-02,0.000000E+00,0.000000E+00
00:03:00,7.598810E-02,1.935008E+03,2.636237E-01,3.002320E+03,4.682967E+03,7.598810E-02,5.345010E+03,7.598810E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.466862E+03,2.103187E-01,2.392896E+03,3.850819E+03,1.422706E-01,6.509806E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.701612E+02,1.274198E-01,1.449152E+03,2.329295E+03,8.658530E-02,3.925239E+03,3.417137E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.466862E+03,2.085403E-01,2.373039E+03,3.828704E+03,1.324532E-01,6.224798E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.701612E+02,1.395462E-01,1.584555E+03,2.478875E+03,8.750257E-02,3.951868E+03,3.417137E-02,0.000000E+00,0.000000E+00
00:04:00,7.598810E-02,1.935810E+03,2.635576E-01,3.000780E+03,4.681366E+03,7.598810E-02,5.345010E+03,7.598810E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.467469E+03,2.101677E-01,2.390602E+03,3.848336E+03,1.422706E-01,6.509806E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.705217E+02,1.273230E-01,1.447711E+03,2.327730E+03,8.658531E-02,3.925239E+03,3.417137E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.467469E+03,2.083944E-01,2.370802E+03,3.826282E+03,1.324532E-01,6.224799E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.705217E+02,1.393991E-01,1.582552E+03,2.476707E+03,8.750258E-02,3.951868E+03,3.417137E-02,0.000000E+00,0.000000E+00
00:05:00,7.598810E-02,1.936612E+03,2.634918E-01,2.999243E+03,4.679766E+03,7.598810E-02,5.345010E+03,7.598810E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.468077E+03,2.100171E-01,2.388314E+03,3.845858E+03,1.422706E-01,6.509806E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.708823E+02,1.272265E-01,1.446273E+03,2.326168E+03,8.658531E-02,3.925239E+03,3.417137E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.468077E+03,2.082490E-01,2.368571E+03,3.823867E+03,1.324532E-01,6.224799E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.708823E+02,1.392527E-01,1.580556E+03,2.474545E+03,8.750259E-02,3.951869E+03,3.417137E-02,0.000000E+00,0.000000E+00
00:06:00,7.598810E-02,1.937414E+03,2.634261E-01,2.997708E+03,4.678169E+03,7.598810E-02,5.345010E+03,7.598810E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.468685E+03,2.098670E-01,2.386030E+03,3.843385E+03,1.422706E-01,6.509806E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.712428E+02,1.271303E-01,1.444838E+03,2.324609E+03,8.658532E-02,3.925240E+03,3.417137E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.468685E+03,2.081041E-01,2.366345E+03,3.821457E+03,1.324532E-01,6.224799E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.712428E+02,1.391068E-01,1.578567E+03,2.472391E+03,8.750259E-02,3.951869E+03,3.417137E-02,0.000000E+00,0.000000E+00
00:07:00,7.598810E-02,1.938215E+03,2.633607E-01,2.996175E+03,4.676573E+03,7.598810E-02,5.345010E+03,7.598810E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.469293E+03,2.097174E-01,2.383751E+03,3.840916E+03,1.422706E-01,6.509807E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.716033E+02,1.270344E-01,1.443407E+03,2.323053E+03,8.658533E-02,3.925240E+03,3.417137E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.469293E+03,2.079597E-01,2.364125E+03,3.819052E+03,1.324532E-01,6.224800E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.716033E+02,1.389616E-01,1.576585E+03,2.470244E+03,8.750260E-02,3.951869E+03,3.417137E-02,0.000000E+00,0.000000E+00
00:08:00,7.598810E-02,1.939017E+03,2.632954E-01,2.994645E+03,4.674981E+03,7.598810E-02,5.345010E+03,7.598810E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.469900E+03,2.095682E-01,2.381478E+03,3.838453E+03,1.422706E-01,6.509807E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.719639E+02,1.269387E-01,1.441979E+03,2.321502E+03,8.658533E-02,3.925240E+03,3.417137E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.469900E+03,2.078158E-01,2.361911E+03,3.816654E+03,1.324532E-01,6.224800E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.719639E+02,1.388169E-01,1.574609E+03,2.468104E+03,8.750260E-02,3.951869E+03,3.417137E-02,0.000000E+00,0.000000E+00
00:09:00,7.598810E-02,1.939819E+03,2.632304E-01,2.993117E+03,4.673392E+03,7.598810E-02,5.345010E+03,7.598810E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.470508E+03,2.094194E-01,2.379209E+03,3.835996E+03,1.422706E-01,6.509807E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.723244E+02,1.268434E-01,1.440554E+03,2.319953E+03,8.658534E-02,3.925240E+03,3.417137E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.470508E+03,2.076724E-01,2.359702E+03,3.814262E+03,1.324532E-01,6.224800E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.723244E+02,1.386729E-01,1.572640E+03,2.465971E+03,8.750261E-02,3.951869E+03,3.417137E-02,0.000000E+00,0.000000E+00
00:10:00,7.598810E-02,1.940621E+03,2.631656E-01,2.991591E+03,4.671805E+03,7.598810E-02,5.345010E+03,7.598810E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.471116E+03,2.092711E-01,2.376945E+03,3.833544E+03,1.422706E-01,6.509807E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.726850E+02,1.267484E-01,1.439132E+03,2.318408E+03,8.658534E-02,3.925240E+03,3.417137E-02,0.000000E+00,0.000000E+00,5.760390E-02,1.471116E+03,2.075295E-01,2.357498E+03,3.811876E+03,1.324532E-01,6.224801E+03,5.760390E-02,0.000000E+00,0.000000E+00,3.417137E-02,8.726850E+02,1.385294E-01,1.570678E+03,2.463846E+03,8.750261E-02,3.951869E+03,3.417137E-02,0.000000E+00,0.000000E+00
